# chr: chromosome
# st: starting position for the segment
# sp: end position for the segment
# maxsize: maximum size of phenotype clusters
# count: counts of phenotypes in cluster, comma delimited
# phenos: phenotypes in each cluster, comma delimited. Clusters are semi-colon delimited
# snps: minimum P-values in the region for each phenotype. nan = missing data. space-delimited, in format [phenotype]:[best snp]:[Z scores for all phenotypes in same order as in phenos]
# NB: often will want to exclude the MHC from 26-34Mb on chromosome 6
chr	st	sp	maxsize	count	phenos	snps
chr1	51713726	54226262	2	2	UB-23,NOSE-23	UB_23:rs702490:-14.8624,5.82531 NOSE_23:rs702489:-5.31761,6.2204
chr1	61922365	63455089	4	4	TG,LDL,TC,CD	TG:rs2131925:13.71,8.517,13.29,-4.14951 LDL:rs3850634:-13.278,-8.726,-13.416,4.10183 TC:rs3850634:-13.278,-8.726,-13.416,4.10183 CD:rs1168132:13.1445,8.35414,12.9788,-4.44343
chr1	65041704	66939404	3	3	AAM,AAM-23,AVD-23	AAM:rs11804091:-4.71645,-1.36542,-2.00206 AAM_23:rs11208702:-2.48665,-4.45938,-6.58255 AVD_23:rs11208702:-2.48665,-4.45938,-6.58255
chr1	71684405	74326907	4	4	AAM,BMI,ALL-23,ATH-23	AAM:rs3101336:-5.51439,7.56049,4.82776,4.45407 BMI:rs11209952:-5.25256,8.78947,4.62813,4.5029 ALL_23:rs61765650:4.52984,-6.43176,-5.00623,-4.96537 ATH_23:rs34874247:4.76747,-6.48206,-4.96,-5.27834
chr1	74326907	76728135	3	3	AAM,BMI,AAM-23	AAM:rs2344508:5.91593,-5.45341,7.32608 BMI:rs1514174:5.80595,-6.18421,7.38932 AAM_23:rs1040070:5.72881,-5.45576,7.64702
chr1	76728135	79661198	3	3	BMI,EDU,HEIGHT	BMI:rs9729667:5.48117,-4.218,3.87097 EDU:rs12754946:4.58343,-5.228,2.04578 HEIGHT:rs71658797:5.38371,-2.859,7.25728
chr1	90066303	91886317	3	3	AAM,NST-23,EDU	AAM:rs10922921:-4.42599,0.140394,-3.189 NST_23:rs12568187:2.56443,6.70532,5.516 EDU:rs1008078:-3.87554,-3.84215,-6.19
chr1	102898745	103914211	2	2	FNBMD,HEIGHT	FNBMD:rs4098282:4.84597,-5.30039 HEIGHT:rs7517682:4.44606,-7.66667
chr1	108409665	110303931	5	5	LDL,HDL,CAD,TC,HEIGHT	LDL:rs629301:27.854,-5.413,6.18714,24.35,-5.0 HDL:rs12740374:-27.671,5.413,-6.03018,-24.203,5.27778 CAD:rs599839:27.648,-5.006,6.3048,24.269,-5.42857 TC:rs629301:27.854,-5.413,6.18714,24.35,-5.0 HEIGHT:rs660240:27.358,-5.126,5.9435,24.156,-5.55556
chr1	113273306	114873845	4	4	HTHY-23,TS-23,RA,CD	HTHY_23:rs2476601:-12.0808,4.51964,-24.8132,5.20994 TS_23:rs2476601:-12.0808,4.51964,-24.8132,5.20994 RA:rs6679677:12.0754,-4.43364,26.2935,-5.21542 CD:rs6679677:12.0754,-4.43364,26.2935,-5.21542
chr1	114873845	115880593	2	2	MIGR-23,SCZ	MIGR_23:rs12134493:7.93591,4.08435 SCZ:rs55675132:0.76172,-4.65284
chr1	115880593	118839067	2	2	MPB-23,CUP-23	MPB_23:rs17185520:5.234,2.99756 CUP_23:rs2359714:4.46036,6.13899
chr1	118839067	144977494	2	2	CUP-23,WHR	CUP_23:rs2645288:5.5381,nan WHR:rs2645294:4.74093,7.69655
chr1	153180829	154770403	2	2	ALL-23,RA	ALL_23:rs11265621:4.62994,-1.92965 RA:rs12753254:4.46051,-5.31836
chr1	159913048	162346721	2	2;2;2	ATH-23,ALL-23;TS-23,HEIGHT;RA,UC	ATH_23:rs4233366:8.19851,6.61134,-2.205,0.411765,1.33165,0.402658 ALL_23:rs2070902:8.17506,6.7114,-2.29424,0.485714,1.59769,-0.097285 TS_23:rs11265395:-0.834698,nan,-5.45599,-1.2973,1.44688,4.03646 HEIGHT:rs6688100:0.64374,2.07777,-5.37754,-5.51724,0.649845,3.55125 RA:rs1801274:-1.40472,-0.0836547,2.00327,1.9,-6.13534,-8.54097 UC:rs1801274:-1.40472,-0.0836547,2.00327,1.9,-6.13534,-8.54097
chr1	165191702	166460517	2	2	HEIGHT,AAM-23	HEIGHT:rs100537:-4.66667,-8.51356 AAM_23:rs100537:-4.66667,-8.51356
chr1	166460517	169086324	2	2;2	NST-23,SCZ;ATH-23,ALL-23	NST_23:rs989928:4.61262,4.21743,0.43561,1.53776 SCZ:rs1040393:4.56552,4.35793,0.446659,1.51375 ATH_23:rs1723018:-0.226968,-0.0442564,-5.93856,-4.85336 ALL_23:rs1617988:0.0355678,-0.603614,-5.52625,-5.3123
chr1	177433381	178944309	4	4	AAM,BMI,CUP-23,AAM-23	AAM:rs633715:-7.03448,9.60843,3.57164,-7.08144 BMI:rs506589:-6.92052,10.6596,3.89485,-7.03383 CUP_23:rs506589:-6.92052,10.6596,3.89485,-7.03383 AAM_23:rs571567:-6.93967,10.2164,3.73495,-7.13154
chr1	199239884	200137649	2	2	MPB-23,AVD-23	MPB_23:rs1155453:3.97001,-4.71343 AVD_23:rs6681737:-3.80018,5.18717
chr1	200137649	201589975	3	3	RA,UC,CD	RA:rs3913893:4.03416,-5.68229,-3.80553 UC:rs7554511:3.47384,-6.42053,-4.56626 CD:rs7522462:3.47384,-6.28631,-4.61889
chr1	201589975	203334734	3	3	BMI,CUP-23,CAD	BMI:rs2820311:5.575,5.33976,3.93421 CUP_23:rs2820315:5.19374,5.59903,3.98386 CAD:rs8024:5.41463,5.26196,4.03624
chr1	204681068	206073265	4	4	AAM,HEIGHT,PD-23,AAM-23	AAM:rs1832775:-5.38862,3.63636,-3.87071,-2.44972 HEIGHT:rs4951258:-5.11336,5.17183,-5.62371,-4.15735 PD_23:rs823118:4.53148,-4.4297,7.30802,4.65714 AAM_23:rs823114:4.30104,-4.82759,7.30126,4.68357
chr1	206073265	208410364	2	2	MIGR-23,HEIGHT	MIGR_23:rs201902587:-4.60386,nan HEIGHT:rs72755091:-3.61475,5.36546
chr1	212842330	214578266	2	2	SCZ,FG	SCZ:rs7529073:4.89785,-5.16129 FG:rs7529073:4.89785,-5.16129
chr1	214578266	216243634	2	2	BHM-23,NOSE-23	BHM_23:rs12038616:-4.4844,4.09366 NOSE_23:rs10864165:-4.12626,4.70042
chr1	219590571	221858231	3	3;2	BHM-23,NOSE-23,WHR;DIMP-23,UB-23	BHM_23:rs61836295:-4.01366,-0.855747,nan,-1.12132,1.92015 NOSE_23:rs5781117:-3.55922,6.64023,nan,-0.143103,0.72046 WHR:rs1415288:2.99558,-4.53753,-8.7234,1.18676,-0.0497922 DIMP_23:rs11118420:-0.184782,0.721893,2.29167,-5.1726,5.40684 UB_23:rs11118420:-0.184782,0.721893,2.29167,-5.1726,5.40684
chr1	242071602	244109499	2	2	EDU,SCZ	EDU:rs2992632:-5.764,-5.21063 SCZ:rs77149735:nan,5.86826
chr10	3352699	4572274	2	2	SCZ,HEIGHT	SCZ:rs17731:4.73841,4.66667 HEIGHT:rs1043003:4.59377,5.0
chr10	5983762	7171484	2	2	HTHY-23,RA	HTHY_23:rs2476491:-4.72965,-2.88141 RA:rs7072793:4.50926,7.4735
chr10	7171484	8774665	2	2	RA,UC	RA:rs568727:-7.07379,-3.98922 UC:rs570613:-6.19279,-4.31376
chr10	8774665	10249396	3	3	ATH-23,ALL-23,RA	ATH_23:rs12413578:-7.15694,-5.35704,-5.04311 ALL_23:rs1775550:-6.67947,-7.20859,-2.95306 RA:rs144536148:-6.69123,-5.34386,-5.05746
chr10	26888684	29323236	3	3	TS-23,CEI-23,HEIGHT	TS_23:rs111572473:3.56148,-0.103703,nan CEI_23:rs2808290:-2.895,-8.45401,7.36615 HEIGHT:rs2637326:-2.91323,-8.37097,7.76822
chr10	31907519	33707968	2	2	MPB-23,WHR	MPB_23:rs3740237:-5.10451,4.84849 WHR:rs7081678:0.921708,5.30121
chr10	63341695	65794114	7	7	BMI,PLT,HEIGHT,MPV,EDU,TG,HDL	BMI:rs2163188:4.05405,-7.01985,-4.66667,10.877,-4.477,6.78594,-4.39494 PLT:rs7080386:-3.78947,10.2094,3.23333,-13.432,4.653,-6.605,4.931 HEIGHT:rs10994930:-1.23256,-0.741484,5.29412,-0.566138,-0.18,-0.428,1.314 MPV:rs7075195:-3.84211,10.1125,3.2,-13.9695,4.716,-6.805,5.124 EDU:rs7924036:-3.90822,7.19672,4.68258,-11.282,4.887,-6.8341,4.73542 TG:rs7897379:-3.50264,8.25461,4.0,-11.8493,4.194,-6.847,4.677 HDL:rs7075195:-3.84211,10.1125,3.2,-13.9695,4.716,-6.805,5.124
chr10	70195991	72220850	3	3	HB,PCV,TC	HB:rs72805692:6.3861,6.16345,-3.42009 PCV:rs72805692:6.3861,6.16345,-3.42009 TC:rs16926246:5.06261,4.483,-3.546
chr10	80876749	82414679	2	2	PS-23,CD	PS_23:rs9665287:4.13407,-4.96141 CD:rs1250566:4.06864,-6.63915
chr10	89127064	91013381	2	2	MPB-23,EDU	MPB_23:rs792218:-5.39658,-3.543 EDU:rs11202702:2.07118,5.149
chr10	93335047	95396368	2	2	ATH-23,T2D	ATH_23:rs202110089:4.38545,nan T2D:rs5015480:3.89175,-8.21065
chr10	95396368	96221243	2	2	MIGR-23,ATH-23	MIGR_23:rs11187838:-6.55177,3.95881 ATH_23:rs7080472:-6.35148,4.26036
chr10	96221243	100241302	4	4	AAM,AAM-23,HEIGHT,AVD-23	AAM:rs11188601:-5.15035,-5.3242,-6.49061,-3.36503 AAM_23:rs1172955:-4.16265,-5.75892,-5.26139,-3.49376 HEIGHT:rs1336455:-4.89362,-4.77515,-7.0,-3.71783 AVD_23:rs10882743:-4.63323,-5.6682,-5.3125,-4.71552
chr10	100668400	102949239	2	2	BMI,CUP-23	BMI:rs17113301:5.26087,4.07665 CUP_23:rs58159281:4.93753,4.45983
chr10	102949239	106695048	4	2;4	BMI,CAD;PLT,ALL-23,UC,HEIGHT	BMI:rs12764899:4.70538,-3.34951,2.91018,-2.00374,-0.232862,3.18847 CAD:rs12413409:4.08187,-4.81468,1.54685,0.802505,-1.26047,1.23077 PLT:rs2281880:-2.22498,0.532329,5.02743,-6.6404,4.47297,8.27586 ALL_23:rs11593589:-2.23972,0.42566,4.40879,-6.89768,4.37066,7.86468 UC:rs5870:-2.3729,0.641315,4.8111,-6.76225,4.55478,8.27586 HEIGHT:rs7899004:2.2573,-0.862035,-4.48763,6.68922,-4.05455,-8.62069
chr11	70855	1213590	3	3	MPV,LSBMD,PLT	MPV:rs11601356:-8.00683,4.17591,9.28005 LSBMD:rs1976848:-7.04683,4.75884,8.73955 PLT:rs505404:-7.41481,4.48113,10.2947
chr11	1213590	3665481	2	2	TS-23,UC	TS_23:rs7929314:-4.36923,4.39714 UC:rs11041476:-4.05689,4.73672
chr11	8333274	9087317	3	3	AAM,BMI,AAM-23	AAM:rs4929923:-6.32698,5.17754,-4.89068 BMI:rs4929948:-6.18526,5.36842,-4.87103 AAM_23:rs11604589:-4.41936,2.26927,-5.26993
chr11	9087317	10952027	3	3	MIGR-23,ATH-23,PLT	MIGR_23:rs4910165:6.46811,-3.88357,3.94817 ATH_23:rs7947953:5.40554,-3.93442,3.39484 PLT:rs4909945:6.46672,-3.93085,4.2608
chr11	12564229	13373124	2	2	AVD-23,AAM-23	AVD_23:rs9633835:4.07939,4.33765 AAM_23:rs11022749:3.852,5.62228
chr11	15742552	17578402	2	2	AVD-23,AAM-23	AVD_23:rs11023993:4.9805,3.76378 AAM_23:rs12799418:3.2585,4.69672
chr11	17578402	19569535	3	3	LDL,TC,HEIGHT	LDL:rs10128711:5.131,5.569,-4.54545 TC:rs10832963:5.081,5.572,-4.54545 HEIGHT:rs10832963:5.081,5.572,-4.54545
chr11	27020461	28481593	3	3	AAM,BMI,AAM-23	AAM:rs7103411:-6.09418,7.98035,-5.82845 BMI:rs6484320:-5.82562,9.0,-5.80231 AAM_23:rs35051342:5.43126,-8.42764,6.56226
chr11	44693799	47006137	2	2;2;2;2	NST-23,FG;TG,FNBMD;HTHY-23,SCZ;EDU,HEIGHT	NST_23:rs6485645:-3.95501,-7.04789,1.64143,1.77274,-0.591269,-0.408237,-0.894,-0.046181 FG:rs7945565:-3.82272,-7.5,1.808,1.49429,-0.624146,-0.298528,-1.139,-0.129032 TG:rs6485690:0.193036,-2.69697,4.901,-5.1733,-1.41535,-2.68662,-1.095,-2.67742 FNBMD:rs7932354:0.406209,-2.44118,4.329,-5.56543,-1.8385,-3.24295,-1.372,-2.15625 HTHY_23:rs10680247:-1.59872,nan,nan,nan,4.49319,6.19566,nan,nan SCZ:rs7951870:-1.52548,0.202092,-2.32023,3.73895,4.28718,6.49592,-1.075,-0.593098 EDU:rs79728014:-0.403737,1.28297,-0.676185,2.08199,-0.0395511,-2.23802,4.61,7.93508 HEIGHT:rs75166711:-0.403714,1.02987,-0.651046,2.03463,-0.250996,-2.35325,4.43,8.31197
chr11	47006137	49866050	3	3;2	MIGR-23,BMI,AAM-23;AD,FG	MIGR_23:rs11039324:-4.53761,6.22818,-4.54232,-4.01852,1.3287 BMI:rs3817334:-4.23061,6.44078,-4.62126,-3.89873,1.3871 AAM_23:rs7928842:-4.43912,6.31579,-4.93509,-3.96835,1.41935 AD:rs71475924:2.23044,nan,2.85579,4.82171,nan FG:rs11039182:3.36074,-2.25903,2.65085,4.47674,-7.14286
chr11	55082657	58457495	2	2	EDU,SCZ	EDU:rs7117878:-4.041,4.93427 SCZ:rs9420:3.757,-5.40033
chr11	58780549	62223771	8	8	PLT,HEIGHT,LDL,CD,FG,TG,HDL,TC	PLT:rs174541:6.31898,-4.19355,-9.357,4.68359,-6.5625,9.59,-9.419,-9.616 HEIGHT:rs2727270:4.77692,-5.11628,-5.742,2.99117,-6.36364,7.321,-7.522,-5.838 LDL:rs174583:5.72988,-3.4375,-9.561,4.70911,-6.36364,9.693,-9.652,-9.72 CD:rs4246215:6.28342,-4.19355,-9.369,5.08296,-6.5625,9.632,-9.399,-9.592 FG:rs2072114:4.99231,-4.65116,-5.963,2.88808,-6.59091,6.951,-7.713,-6.197 TG:rs174546:5.48675,-4.19355,-9.518,4.75383,-6.25,10.102,-9.714,-9.706 HDL:rs174601:5.81534,-3.63636,-9.256,4.57571,-5.88235,9.794,-9.771,-9.333 TC:rs174550:5.53826,-3.87097,-9.554,4.8351,-6.25,10.024,-9.653,-9.738
chr11	65898631	68005825	2	2	MCV,NST-23	MCV:rs2302264:-6.42485,4.56706 NST_23:rs4465371:-5.21225,4.72735
chr11	68005825	69516130	2	2	LSBMD,UB-23	LSBMD:rs2291467:-6.59156,-5.60186 UB_23:rs111703332:-5.76159,-6.0704
chr11	72286017	74412351	4	4	MPV,EDU,T2D,FG	MPV:rs1783598:-3.78068,3.435,4.13823,4.35897 EDU:rs2103188:0.862622,-4.289,0.359756,0.583543 T2D:rs11603349:3.59325,-4.04,-5.03993,-5.25536 FG:rs1552224:3.66288,-3.971,-5.03019,-5.60976
chr11	74412351	76797209	4	4	ATH-23,ALL-23,UC,CD	ATH_23:rs7936323:8.65604,8.50039,5.95567,7.11686 ALL_23:rs7936323:8.65604,8.50039,5.95567,7.11686 UC:rs2212434:7.97335,7.57235,6.82857,7.35086 CD:rs11236791:7.97075,7.82236,6.42649,7.35251
chr11	116383348	117747110	5	5	TG,HDL,TC,LDL,CAD	TG:rs964184:-32.2505,13.8669,-15.7439,-10.4976,-5.68451 HDL:rs964184:-32.2505,13.8669,-15.7439,-10.4976,-5.68451 TC:rs964184:-32.2505,13.8669,-15.7439,-10.4976,-5.68451 LDL:rs964184:-32.2505,13.8669,-15.7439,-10.4976,-5.68451 CAD:rs964184:-32.2505,13.8669,-15.7439,-10.4976,-5.68451
chr11	117747110	119215476	4	4	ATH-23,CD,ALL-23,RA	ATH_23:rs7119038:5.59038,1.07579,6.599,6.76424 CD:rs630923:-5.34543,-3.98102,-4.16296,-1.44688 ALL_23:rs11217036:-4.76633,-1.14392,-7.12493,-7.30174 RA:rs10790275:4.98931,1.40396,6.75304,8.47064
chr11	122591910	123500117	4	4	AAM,AAM-23,HEIGHT,AVD-23	AAM:rs1461504:8.20531,5.78747,5.66667,6.78962 AAM_23:rs7113019:6.89868,7.4259,5.56775,7.6263 HEIGHT:rs1461503:8.12701,6.1425,6.2069,6.35443 AVD_23:rs7110373:6.75575,7.36114,5.58635,7.64986
chr12	1080331	2544786	2	2	AAM,PCV	AAM:rs12425203:-4.76378,5.16233 PCV:rs7312105:-4.25398,5.53156
chr12	25371083	27799773	2	2	HDL,WHR	HDL:rs7302344:-3.556,6.28806 WHR:rs10842705:-3.07091,7.18786
chr12	49001866	51776494	4	4;2	AAM,BMI,CUP-23,AAM-23;ATH-23,ALL-23	AAM:rs7138803:-5.36048,nan,5.10876,-6.0945,0.669824,-0.548766 BMI:rs17201502:-5.32855,7.425,2.92195,-4.47833,1.15109,0.0519431 CUP_23:rs3205718:-4.38138,nan,5.51807,-6.02357,0.903397,0.00789345 AAM_23:rs7306275:-4.48405,nan,4.77878,-6.17028,1.08078,-0.357748 ATH_23:rs10747559:-3.03602,3.51573,-1.15448,-1.18522,-5.18998,nan ALL_23:rs11169225:0.974733,0.355992,-0.105776,-1.20203,4.52236,5.98114
chr12	53039004	54778823	3	3;2	UB-23,FNBMD,WHR;LSBMD,HEIGHT	UB_23:rs4759319:4.34851,-4.88368,6.65676,-5.93726,1.04943 FNBMD:rs11614913:3.07049,-5.39166,6.59091,-6.12766,0.516129 WHR:rs10876528:4.32725,-5.28958,6.75458,-6.00001,1.05658 LSBMD:rs2016266:-0.250613,-5.01011,1.04444,-6.93814,-5.16129 HEIGHT:rs7485271:-2.03496,-2.3044,1.19048,-4.04394,-5.17241
chr12	55665837	57548860	3	3;2;2	HTHY-23,RA,EDU;ATH-23,ALL-23;MIGR-23,TS-23	HTHY_23:rs7312770:-5.56101,5.42887,-5.443,-3.51511,-3.39751,2.56476,-1.57208 RA:rs773125:4.76167,-6.13534,5.772,3.71343,2.84374,-2.28809,1.19404 EDU:rs2456973:5.21391,-3.34603,7.122,3.05868,3.96013,-2.35786,1.51188 ATH_23:rs3001426:0.616386,1.10257,0.006,6.71731,4.33944,-9.72201,-3.38388 ALL_23:rs3024971:1.73061,-1.72687,-0.965,-5.67027,-5.51814,1.13471,3.39415 MIGR_23:rs11172113:0.976251,0.969577,-0.305,3.28674,2.85002,-13.5307,-4.02061 TS_23:rs78124442:2.05713,nan,nan,0.136337,nan,0.401226,-4.19876
chr12	57548860	59308666	3	3	HB,TG,HDL	HB:rs11172147:3.81279,-6.047,5.502 TG:rs11613352:3.4708,-6.238,5.474 HDL:rs3741414:3.40171,-6.177,5.646
chr12	92066155	94514567	2	2	ALL-23,RA	ALL_23:rs364825:4.38585,-3.60132 RA:rs11106517:3.73247,-4.58307
chr12	110336719	113263518	14	14	HTHY-23,TS-23,PLT,PCV,FNBMD,LDL,CD,RA,HB,RBC,HDL,TC,ALL-23,CAD	HTHY_23:rs10774625:-11.0562,-6.22843,-9.97913,-7.35678,3.5775,6.017,-3.00521,-5.42887,-8.59168,-6.59777,4.613,6.721,4.51326,-4.4879 TS_23:rs3184504:-10.9052,-6.61066,-10.6836,-8.05619,3.63778,6.021,-3.27873,-4.67444,-8.92894,-7.05025,4.566,6.663,4.32206,-4.51436 PLT:rs3184504:-10.9052,-6.61066,-10.6836,-8.05619,3.63778,6.021,-3.27873,-4.67444,-8.92894,-7.05025,4.566,6.663,4.32206,-4.51436 PCV:rs3184504:-10.9052,-6.61066,-10.6836,-8.05619,3.63778,6.021,-3.27873,-4.67444,-8.92894,-7.05025,4.566,6.663,4.32206,-4.51436 FNBMD:rs3184504:-10.9052,-6.61066,-10.6836,-8.05619,3.63778,6.021,-3.27873,-4.67444,-8.92894,-7.05025,4.566,6.663,4.32206,-4.51436 LDL:rs11065987:8.89395,5.95176,9.37839,6.40477,-3.42619,-6.044,3.69154,4.40778,7.36847,5.48189,-3.44,-6.862,-4.15255,nan CD:rs11066188:8.78611,5.97499,9.41302,5.49787,-3.26054,-5.986,3.91913,4.63133,6.9422,5.04129,-3.083,-6.603,-4.2805,4.83163 RA:rs653178:-10.8955,-6.55267,-10.4961,-7.60541,3.55339,5.354,-3.24609,-6.04525,-8.53422,-6.77559,4.8,6.29,4.16819,-4.44978 HB:rs3184504:-10.9052,-6.61066,-10.6836,-8.05619,3.63778,6.021,-3.27873,-4.67444,-8.92894,-7.05025,4.566,6.663,4.32206,-4.51436 RBC:rs3184504:-10.9052,-6.61066,-10.6836,-8.05619,3.63778,6.021,-3.27873,-4.67444,-8.92894,-7.05025,4.566,6.663,4.32206,-4.51436 HDL:rs653178:-10.8955,-6.55267,-10.4961,-7.60541,3.55339,5.354,-3.24609,-6.04525,-8.53422,-6.77559,4.8,6.29,4.16819,-4.44978 TC:rs11065987:8.89395,5.95176,9.37839,6.40477,-3.42619,-6.044,3.69154,4.40778,7.36847,5.48189,-3.44,-6.862,-4.15255,nan ALL_23:rs11066301:8.80848,5.74039,9.18558,6.08706,-3.28495,-5.696,3.42566,3.79861,6.94413,5.43276,-3.079,-6.337,-4.87452,5.01886 CAD:rs648997:-5.68179,-1.3374,-1.40105,-4.67061,3.37821,5.593,-1.28492,-4.40778,-5.67144,-4.48654,1.944,5.264,0.714434,-5.27972
chr12	119754110	122007651	3	3;3	MCV,RBC,ALL-23;LDL,TC,CAD	MCV:rs3829290:-5.99308,5.30789,-3.97145,-0.312,0.161,2.30321 RBC:rs7976497:-5.93671,5.36395,-3.98816,-0.434,0.023,2.23295 ALL_23:rs7305821:-2.98926,2.46477,-4.90702,2.49446,2.05004,2.55423 LDL:rs1169288:2.70449,1.20734,-1.11739,8.012,7.689,4.63983 TC:rs1169288:2.70449,1.20734,-1.11739,8.012,7.689,4.63983 CAD:rs1183910:2.43748,0.996515,-1.39585,7.809,7.527,4.72864
chr12	122007651	124977980	5	5;4	ATH-23,EDU,ALL-23,HEIGHT,SCZ;TG,HDL,WHR,NST-23	ATH_23:rs6576:4.33929,-5.875,nan,nan,-4.34292,nan,nan,nan,-1.04759 EDU:rs7306755:-3.43486,7.099,-7.06373,9.47119,4.70321,-0.79378,-0.242949,-2.09334,1.30661 ALL_23:rs9739070:3.62992,-7.022,7.44125,-9.62477,-4.87849,0.812437,0.093675,2.19729,-1.11618 HEIGHT:rs12316131:-3.40511,6.838,-7.14657,10.5556,4.91538,-0.69,-0.535,-2.22522,1.12841 SCZ:rs2851447:3.35498,-6.52,5.39222,-8.0,-7.63901,1.00622,-1.56091,2.6,-2.10832 TG:rs12310367:0.365472,1.071,1.85961,-2.41935,4.46142,-5.698,6.293,-6.52174,3.8553 HDL:rs4765127:0.290006,1.037,1.81983,-2.32258,4.35676,-5.63,6.305,-6.88889,3.85123 WHR:rs6488913:-0.0523924,-0.866,-1.59391,2.32258,-4.30967,5.3515,-6.11545,7.04545,-3.65138 NST_23:rs7307053:-0.0416346,1.823,1.65429,-2.4375,4.03626,-5.324,5.433,-5.95745,4.47467
chr13	38878163	41069263	2	2;2	RA,UC;AAM,HEIGHT	RA:rs144565908:6.51398,2.80596,-4.0562,-4.27243 UC:rs941823:1.92965,4.80859,-0.371856,-2.88235 AAM:rs9548873:5.89571,2.65945,-5.12983,-4.375 HEIGHT:rs9603597:-4.27031,-2.30015,5.02631,5.58824
chr13	41069263	43101027	4	4	TS-23,ATH-23,ALL-23,CD	TS_23:rs9533100:-5.5543,-3.83116,-5.15784,-4.5241 ATH_23:rs9549258:0.502323,5.0779,3.31013,-0.617889 ALL_23:rs346601:-4.63057,-2.84554,-5.80698,-3.63571 CD:rs2062305:-5.51452,-3.78377,-5.28,-4.70385
chr13	53339622	54682864	2	2	BMI,CUP-23	BMI:rs9568868:5.73684,3.54236 CUP_23:rs1927861:5.71809,3.68993
chr13	84133144	85610916	2	2	EDU,SCZ	EDU:rs7336518:-4.487,-3.9993 SCZ:rs11617058:-4.384,-4.99397
chr13	98938919	100574095	2	2;2	ATH-23,DIMP-23;HTHY-23,CD	ATH_23:rs66626478:5.16237,-3.5634,-2.22473,nan DIMP_23:rs2004229:-4.06824,4.38492,1.53701,0.987021 HTHY_23:rs9513563:-1.58773,-0.236172,4.29305,4.04546 CD:rs9557201:0.661156,0.644812,-3.82833,-4.54695
